result #,search engine,query,discourse,language,domain,Manual actor name,article title,article url,article description,total nr of results (best guess),"Type (Kommunal, virksomhed, statslig)",Kommentarer / Er det en relevant kvalitativ case? Hvorfor?
100.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,verdensmaalene,,Verdensmålene - for bæredygtig udvikling,https://www.verdensmaalene.dk/,"Verdensmålene for bæredygtig udvikling er 17 mål, der tilsammen skal sætte os på kurs mod en mere bæredygtig fremtid, hvor ingen lades i stikken. UNDERVISNINGSØVELSER Her kan du finde guides til, hvordan du kan arbejde med verdensmålene i netop dit fag og fagspecifikke øvelser, der sætter verdensmålene på skoleskemaet.",369000.0,,hvordan skal der linkes her? Vil i have et link til samtlige verdensmål?
101.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,verdensmaalene,,Verdensmålene | Verdensmålene - for bæredygtig udvikling,https://www.verdensmaalene.dk/fakta/verdensmaalene,"17 Verdensmål. Verdensmålene udgør 17 konkrete mål og 169 delmål, som forpligter alle FN’s 193 medlemslande til helt at afskaffe fattigdom og sult i verden, reducere uligheder, sikre god uddannelse og bedre sundhed til alle, anstændige jobs og mere bæredygtig økonomisk vækst.",369000.0,,
103.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,verdensmaal,,Verdensmålene – Danmarks officielle side | Verdensmål,https://www.verdensmaal.org/,"På verdensmål.org kan du følge med i, hvordan Danmark og danskerne arbejder med målene. Du finder også materialer og idéer til, hvordan du selv kan bruge Verdensmålene i din hverdag, både som privatperson og i arbejdslivet i din virksomhed, organisation eller kommune. Siden er drevet af Verdens Bedste Nyheder.",369000.0,,
105.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,fm,,Verdensmål - Finansministeriet,https://fm.dk/arbejdsomraader/verdensmaal/,"Verdensmål. I september 2015 vedtog verdens lande i FN 2030-dagsordenen for bæredygtig udvikling og de tilhørende 17 verdensmål. Verdensmålene er universelle, gensidigt afhængige og balancerer de tre dimensioner af bæredygtig udvikling – økonomisk, social og miljømæssig.",369000.0,,
106.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,kl,,Verdensmål,https://www.kl.dk/tema/verdensmaal/,"Kommunerne har taget FN""s Verdensmål til sig og er en del af den fælles retning FN har sat for en bæredygtig verden. Verdensmålene udgør 17 konkrete mål og 169 delmål. Formålene med Verdensmålene er at afskaffe fattigdom og sult i verden, reducere uligheder, sikre god uddannelse og bedre sundhed til alle, skabe anstændige jobs og sikre mere bæredygtig økonomisk vækst.",369000.0,,
108.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,bygherreforeningen,,Få hjælp til bæredygtigt byggeri med FNs verdensmål I ...,https://bygherreforeningen.dk/viden/baeredygtighed/bygherrens-arbejde-med-fns-verdensmaal/,"Brug verdensmålene. Med baggrund i FN’s 17 verdensmål og de underliggende delmål, har Bygherreforeningen udarbejdet en række pejlemærker, som er en oversættelse af de enkelte verdensmål til en bygherres univers.",369000.0,,
109.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,regionh,,Verdensmål i Region Hovedstaden,https://www.regionh.dk/om-region-hovedstaden/udgivelser-fra-regionen/politikker-og-strategier/Sider/Verdensmaal-i-Region-Hovedstaden.aspx,"Regionen kan ikke løfte ét verdensmål uden at se på det i sammenhæng med de andre. Det unikke ved verdensmålene er nemlig, at de afspejler, at verden er kompleks. Helhedssyn og partnerskaber er afgørende . Helhedssyn er en af regionens 4 værdier og er det centrale udgangspunkt for arbejdet med verdensmålene.",369000.0,,
110.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,handicap,,Verdensmål | Danske Handicaporganisationer,https://handicap.dk/internationalt-samarbejde/handicap-i-udvikling/verdensmaal,"Verdensmålene blev udviklet i forlængelse af de otte 2015-mål, som blev vedtaget i FN i år 2000. 2015-målene var ambitiøse mål for at forbedre livet i verdens fattigste lande frem til 2015. Ikke alt lykkedes, men gennem en fælles målrettet indsats har mange mennesker markant forbedret deres levevilkår og fået højere indkomst, uddannelse og sundhed.",369000.0,,
111.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,bornsvilkar,,Verdensmål - Børns vilkår,https://bornsvilkar.dk/verdensmaal/,"FNs verdensmål. FN vedtog i 2015 17 verdensmål, der skal sikre, at kloden får en bedre og mere bæredygtig fremtid.Både for vores egen skyld, men i særdeleshed også for vores børns skyld. 193 lande verden over har underskrevet FN’s vedtagelse – og den forpligter.",369000.0,,
112.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,texta,,"FN’s 17 verdensmål: Hvem, hvad, hvorfor & hvordan ...",https://texta.dk/fns-17-verdensmaal/,"01.09.2020 · Hos UN City Copenhagen står der: ”Verdensmålene udgør 17 konkrete mål, som forpligter alle FN’s medlemslande til helt at afskaffe fattigdom og sult i verden, reducere uligheder, sikre god uddannelse og bedre sundhed til alle, anstændige jobs og mere bæredygtig vækst.De fokuserer ligeledes på at fremme fred og sikkerhed og stærke institutioner og på at styrke …",369000.0,,
114.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,redbarnet,,Vores Verdensmål - undervisningsmateriale fra Red Barnet,https://redbarnet.dk/skole/vores-verdensmaal-ret-til-fremtiden/,"Verdensmål og børns rettigheder går hånd i hånd. Verdensmålene kan være med til at sikre, at børns rettigheder bliver overholdt, så alle får lov at gå i skole, ikke oplever vold og kan vokse op blandt voksne, de er trygge ved. Det arbejder vi for hver dag året rundt i Red Barnet.",369000.0,,
115.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,erhvervsstyrelsen,,Rådet for Samfundsansvar og Verdensmål ...,https://erhvervsstyrelsen.dk/raadet-samfundsansvar-og-verdensmaal,"at verdensmål 8 både opgøres som arbejdsproduktivitet (vores evne til at skabe værdi med den samme arbejdsindsats), beskæftigelsesfrekvens (for forskellig grupper i samfundet, fordelt på køn og herkomst), og ledighed bland nyuddannede (opdelt efter uddannelsestype) jf.",369000.0,,
117.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,redbarnet,,Verdensmål - Ret til fremtiden - Undervisningmateriale,https://redbarnet.dk/skole/boerns-rettigheder/verdensmaal-mellemtrin/,"Verdensmål og børns rettigheder går hånd i hånd. Og materialet skal være med til at understøtte bevidstheden om, at man ved at støtte Verdensmål også styrker børns rettigheder. Fælles mål. I kan bru ge materialet i dansk, idræt, billedkunst og understøttende undervisning",369000.0,,
119.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,um,,Verdensmålene - Udenrigsministeriet,https://um.dk/da/danida/strategi%20og%20prioriteter/verdensmaal/,"Verdensmålene er gensidigt afhængige og balancerer de tre dimensioner af bæredygtig udvikling – økonomisk, socialt og miljømæssig. Verdensmålene gælder derfor for alle verdens lande og har i kraft af deres universalitet både en national og en international dimension.",369000.0,,
120.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,rebild,,Verdensmål | Rebild kommune,https://rebild.dk/demokrati/verdensmaal,"Verdensmålene skaber i kraft af deres universelle indhold sammenhæng mellem globale og lokale perspektiver. Målene bidrager til, at kommunerne kan tænke deres indsats ind i en global ramme og sikre lokal udvikling. Globale problematikker har også relevans for Rebild kommune, ...",369000.0,,
