result #,search engine,query,discourse,language,domain,Manual actor name,article title,article url,article description,total nr of results (best guess),"Type (Kommunal, virksomhed, statslig)",Kommentarer / Er det en relevant kvalitativ case? Hvorfor?,index,resolved,status,error,filename,mimetype,encoding
120.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,rebild,,Verdensmål | Rebild kommune,https://rebild.dk/demokrati/verdensmaal,"Verdensmålene skaber i kraft af deres universelle indhold sammenhæng mellem globale og lokale perspektiver. Målene bidrager til, at kommunerne kan tænke deres indsats ind i en global ramme og sikre lokal udvikling. Globale problematikker har også relevans for Rebild kommune, ...",369000.0,,,50,,200,,60f3daf4-354b-4530-ae51-3273c43c52ab.html,text/html,utf-8
98.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,billund,,Miljø - Billund Kommune,https://billund.dk/politik/hoeringer-og-afgoerelser/miljoe/,Afgørelse om ikke VVM-pligt ved etablering af to moniteringsboringer i Grindsted. Billund Kommune har meddelt afgørelse om ikke VVM-pligt i forbindelse med etablering af to moniteringsboringer til undersøgelse af de geologiske og hydrogeologiske forhold ved den gl. losseplads i Grindsted.,1640000.0,kommunal,,35,,200,,9bb396eb-54eb-48af-a5f2-e3c2b1ddbe50.html,text/html,utf-8
111.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,bornsvilkar,,Verdensmål - Børns vilkår,https://bornsvilkar.dk/verdensmaal/,"FNs verdensmål. FN vedtog i 2015 17 verdensmål, der skal sikre, at kloden får en bedre og mere bæredygtig fremtid.Både for vores egen skyld, men i særdeleshed også for vores børns skyld. 193 lande verden over har underskrevet FN’s vedtagelse – og den forpligter.",369000.0,,,44,,200,,77d14f68-24b7-4175-a5a7-b688c35388a7.html,text/html,utf-8
122.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,heleverdeniskole,,De 17 mål | Hele Verden i Skole,https://heleverdeniskole.dk/verdensmaalene/de-17-maal/,"Læs om hvert af de 17 verdensmål, og hvordan det går med at opfylde dem. Related content. Mål 1: Afskaf fattigdom. Afskaf alle former for fattigdom i hele verden. Mål 2: Stop sult. Alle børn og voksne skal kunne spise sig mætte i sund og nærende mad. Mål 3: Sundhed og trivsel.",369000.0,,,52,,200,,7b7ffc54-4346-45fb-adea-3e77f9ff62fc.html,text/html,utf-8
110.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,handicap,,Verdensmål | Danske Handicaporganisationer,https://handicap.dk/internationalt-samarbejde/handicap-i-udvikling/verdensmaal,"Verdensmålene blev udviklet i forlængelse af de otte 2015-mål, som blev vedtaget i FN i år 2000. 2015-målene var ambitiøse mål for at forbedre livet i verdens fattigste lande frem til 2015. Ikke alt lykkedes, men gennem en fælles målrettet indsats har mange mennesker markant forbedret deres levevilkår og fået højere indkomst, uddannelse og sundhed.",369000.0,,,43,,200,,f2874bdf-300c-4698-b0ed-b6b811d78e5c.html,text/html,utf-8
51.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,regionh,,Miljø - Region H,https://www.regionh.dk/miljoe/Sider/default.aspx,"Miljø Med FN""s verdensmål som pejlemærke arbejder vi målrettet for et klima og miljø i balance. Vi gør vores hospitaler grønnere og arbejder på tværs i hele regionen for at reducere klimaforandringer, tilpasse os et ændret klima, anvende ressourcerne bedre og sikre grundvandet.",1640000.0,kommunal,,18,,200,,95974838-dffb-489f-846f-2c7b99d7a6a4.html,text/html,utf-8
105.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,fm,,Verdensmål - Finansministeriet,https://fm.dk/arbejdsomraader/verdensmaal/,"Verdensmål. I september 2015 vedtog verdens lande i FN 2030-dagsordenen for bæredygtig udvikling og de tilhørende 17 verdensmål. Verdensmålene er universelle, gensidigt afhængige og balancerer de tre dimensioner af bæredygtig udvikling – økonomisk, social og miljømæssig.",369000.0,,,39,,200,,261b8c99-d16a-400e-a7c2-1ca107cc5a7c.html,text/html,utf-8
125.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,duf,,DUFs arbejde med verdensmål - Dansk Ungdoms Fællesråd,https://duf.dk/dufs-arbejde/verdensmaal,"DUFs arbejde med FN""s 17 verdensmål . Unge har en helt særlig rolle at spille i vores fælles mission om at skabe en bæredygtig verden. Verdensmålene er en af de allervigtigste dagsordner og med kun 10 år tilbage før vi skal være i mål, er der brug for handling.",369000.0,,,55,,200,,de07c99b-0929-418f-95fb-1d05f7cf5a49.html,text/html,utf-8
130.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,globalis,,"FN""s 17 Verdensmål",https://www.globalis.dk/om-fn/fn-s-17-verdensmaal,"Hvad er FN""s Verdensmål?På et FN topmøde i 2015 blev FN’s 17 Verdensmål for bæredygtig udvikling vedtaget. Verdensmålene skal skabe bedre leveforhold for alle verdens borgere, samt sikre planetens fremtid. De er universelle og fokuserer derfor i lige så høj grad på Danmark og Norden som på de fattigste lande i verden.Tryk på det enkelte mål for at læse mere om det …",369000.0,,,60,,200,,5873e186-a1a5-40fa-abfa-0225ffa27d18.html,text/html,utf-8
50.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,aalborg,,"Miljø, energi og bæredygtighed i Aalborg Kommune",https://www.aalborg.dk/miljoe-energi-og-natur,"Miljø, energi og natur. Klima; Trafikkens miljøkonsekvenser; Jord; Affald og genbrug; Drikkevand og grundvand; Spildevand og kloakering; Vandløb; Vådområder og lavbundsprojekter; Vandplanprojekter; Varme; Fredning og naturbeskyttelse; Skadevoldende dyr og planter; Drift af grønne områder; Bæredygtighedsmanual; Hønsehold og fuglehold i haven; Hold af kælegrise",1640000.0,kommunal,,17,,200,,bede1569-a539-4b69-9d9d-d1e842f4389e.html,text/html,utf-8
